id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-1129166,2023-10-30,000001,Vente,428000,2,,RUE MICHEL BONNUS,5130,83200,83137,Toulon,83,,,83137000DR0076,,,,,,,,,,,,,0,2,Appartement,51,2,S,sols,,,850,5.889079,43.139076
2023-1129166,2023-10-30,000001,Vente,428000,2,,RUE MICHEL BONNUS,5130,83200,83137,Toulon,83,,,83137000DR0076,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,850,5.889079,43.139076
2023-1129166,2023-10-30,000001,Vente,428000,2,,RUE MICHEL BONNUS,5130,83200,83137,Toulon,83,,,83137000DR0076,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,850,5.889079,43.139076
2023-1129166,2023-10-30,000001,Vente,428000,2,,RUE MICHEL BONNUS,5130,83200,83137,Toulon,83,,,83137000DR0076,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,850,5.889079,43.139076
2023-1129166,2023-10-30,000001,Vente,428000,2,,RUE MICHEL BONNUS,5130,83200,83137,Toulon,83,,,83137000DR0076,,,,,,,,,,,,,0,2,Appartement,54,2,S,sols,,,850,5.889079,43.139076
2023-1129166,2023-10-30,000001,Vente,428000,2,,RUE MICHEL BONNUS,5130,83200,83137,Toulon,83,,,83137000DR0076,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,850,5.889079,43.139076
2023-1129166,2023-10-30,000001,Vente,428000,2,,RUE MICHEL BONNUS,5130,83200,83137,Toulon,83,,,83137000DR0076,,,,,,,,,,,,,0,2,Appartement,81,4,S,sols,,,850,5.889079,43.139076
2023-1129166,2023-10-30,000001,Vente,428000,2,,RUE MICHEL BONNUS,5130,83200,83137,Toulon,83,,,83137000DR0076,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,850,5.889079,43.139076
2023-1129171,2023-11-03,000001,Vente,75000,573,,AV DE SIBLAS,6770,83000,83137,Toulon,83,,,83137000AO0360,,,13,37.23,,,,,,,,,1,4,Local industriel. commercial ou assimilé,36,0,,,,,,5.937901,43.13124
2023-1129174,2023-10-31,000001,Vente,114500,10,,RUE HONORE,3657,83100,83137,Toulon,83,,,83137000CH0204,,,7,37.95,,,,,,,,,1,2,Appartement,44,3,,,,,,5.954177,43.124596
2023-1129174,2023-10-31,000001,Vente,114500,10,,RUE HONORE,3657,83100,83137,Toulon,83,,,83137000CH0204,,,7,37.95,,,,,,,,,1,3,Dépendance,,0,,,,,,5.954177,43.124596
2023-1129180,2023-11-06,000001,Vente,371000,30,,RUE RAYMOND ET EDGAR MAUFRAIS,6114,83200,83137,Toulon,83,,,83137000DR0022,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,500,5.891572,43.140191
2023-1129180,2023-11-06,000001,Vente,371000,30,,RUE RAYMOND ET EDGAR MAUFRAIS,6114,83200,83137,Toulon,83,,,83137000DR0022,,,,,,,,,,,,,0,1,Maison,66,4,S,sols,,,500,5.891572,43.140191
2023-1129182,2023-11-03,000001,Vente,224000,275,,RUE PDT ROBERT SCHUMAN,5960,83000,83137,Toulon,83,,,83137000BY0064,,,62,68.4,,,,,,,,,1,3,Dépendance,,0,,,,,,5.935768,43.112805
2023-1129182,2023-11-03,000001,Vente,224000,275,,RUE PDT ROBERT SCHUMAN,5960,83000,83137,Toulon,83,,,83137000BY0064,,,62,68.4,,,,,,,,,1,2,Appartement,63,3,,,,,,5.935768,43.112805
2023-1129183,2023-10-19,000001,Vente,86400,14,,BD DU 11 NOVEMBRE 1918,5455,83100,83137,Toulon,83,,,83137000CD0059,,,115,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.946791,43.121586
2023-1129183,2023-10-19,000001,Vente,86400,14,,BD DU 11 NOVEMBRE 1918,5455,83100,83137,Toulon,83,,,83137000CD0059,,,20,,87,,,,,,,,2,2,Appartement,53,3,,,,,,5.946791,43.121586
2023-1129183,2023-10-19,000001,Vente,86400,14,,BD DU 11 NOVEMBRE 1918,5455,83100,83137,Toulon,83,,,83137000CD0059,,,20,,87,,,,,,,,2,3,Dépendance,,0,,,,,,5.946791,43.121586
2023-1129184,2023-10-24,000001,Vente,56000,47,,RUE SAINT LAURENT,6500,83200,83137,Toulon,83,,,83137000CY0470,,,17,,,,,,,,,,1,2,Appartement,14,1,,,,,,5.916398,43.128762
2023-1129185,2023-10-23,000001,Vente,15000,446,,AV MARCEAU,4790,83100,83137,Toulon,83,,,83137000AS0793,,,130,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.954793,43.125755
2023-1129186,2023-10-16,000001,Vente,218250,76,,RUE VICTOR GELU PROLONGEE,7166,83000,83137,Toulon,83,,,83137000BI0660,,,484,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.972183,43.116791
